acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z;cal_sys;cal_acc;cal_gyr;cal_mag
-0.190000;-0.770000;9.680000;0.007636;0.007636;0.001091;0.184375;0.467187;-1.317188;0.998962;-0.042664;0.015259;-0.000854;0;3;3;0
-0.150000;-0.720000;9.690000;0.001091;0.000000;0.002182;0.184375;0.467187;-1.317188;0.998962;-0.042603;0.015198;-0.000854;0;3;3;0
-0.160000;-0.810000;9.680000;-0.006545;-0.003272;0.001091;0.193750;0.467187;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.790000;9.660000;0.003272;0.005454;0.002182;0.229687;0.476562;-1.343750;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.750000;9.670000;-0.003272;-0.001091;0.002182;0.293750;0.493750;-1.317188;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.760000;9.700000;-0.001091;0.000000;0.002182;0.359375;0.467187;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.190000;-0.770000;9.680000;0.003272;0.004363;0.000000;0.359375;0.467187;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.760000;9.650000;-0.004363;0.001091;-0.001091;0.396875;0.431250;-1.268750;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.780000;9.670000;-0.001091;0.002182;0.002182;0.414062;0.393750;-1.279688;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.770000;9.670000;0.000000;0.004363;-0.001091;0.434375;0.318750;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.790000;9.680000;-0.001091;0.002182;0.002182;0.442187;0.312500;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.800000;9.700000;-0.002182;0.003272;0.001091;0.442187;0.312500;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.780000;9.670000;-0.001091;0.002182;0.001091;0.451562;0.292188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.800000;9.700000;-0.002182;-0.003272;0.000000;0.468750;0.292188;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.780000;9.690000;0.002182;0.004363;0.001091;0.462500;0.281250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.760000;9.690000;-0.001091;0.001091;0.000000;0.462500;0.281250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.800000;9.690000;0.001091;-0.001091;0.002182;0.462500;0.281250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.760000;9.700000;0.001091;0.003272;0.001091;0.489062;0.281250;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.790000;9.680000;-0.005454;-0.001091;-0.001091;0.468750;0.281250;-1.300000;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.200000;-0.760000;9.660000;0.001091;0.007636;-0.001091;0.489062;0.267188;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.750000;9.700000;-0.002182;0.000000;0.001091;0.479688;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.190000;-0.770000;9.700000;0.000000;0.001091;0.001091;0.479688;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.790000;9.690000;-0.002182;0.000000;0.001091;0.479688;0.281250;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.780000;9.680000;-0.002182;0.002182;-0.001091;0.489062;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.800000;9.700000;0.003272;0.003272;0.000000;0.489062;0.275000;-1.317188;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.790000;9.700000;-0.002182;0.001091;-0.005454;0.506250;0.267188;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.780000;9.680000;0.000000;0.000000;-0.001091;0.506250;0.267188;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.800000;9.690000;0.001091;-0.001091;0.001091;0.462500;0.275000;-1.296875;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.790000;9.660000;-0.002182;-0.003272;-0.002182;0.462500;0.275000;-1.325000;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.760000;9.690000;-0.001091;-0.001091;0.000000;0.479688;0.275000;-1.317188;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.780000;9.700000;0.001091;0.001091;0.000000;0.489062;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.790000;9.680000;0.005454;0.001091;0.001091;0.489062;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.770000;9.640000;0.001091;0.000000;-0.001091;0.468750;0.256250;-1.276562;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.170000;-0.800000;9.690000;0.002182;0.003272;0.000000;0.489062;0.267188;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.800000;9.680000;-0.001091;-0.002182;-0.001091;0.462500;0.275000;-1.287500;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.750000;9.700000;-0.006545;-0.002182;-0.001091;0.451562;0.281250;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.180000;-0.800000;9.680000;0.005454;0.005454;0.001091;0.451562;0.281250;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.150000;-0.750000;9.670000;-0.003272;-0.002182;0.000000;0.462500;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.160000;-0.780000;9.680000;0.002182;0.001091;0.000000;0.489062;0.281250;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
-0.210000;-0.790000;9.660000;0.000000;0.003272;0.000000;0.506250;0.267188;-1.306250;0.998962;-0.042542;0.015076;-0.000854;0;3;3;0
