time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
31;-9.3100000000;-0.1200000000;1.0300000000;13.7500000000;4.1875000000;2.1875000000;29.2500000000;5.8750000000;-14.5000000000;0.6079100000;0.3604740000;0.5703740000;-0.4185790000
32;-9.2900000000;-0.2800000000;1.2800000000;5.9375000000;-0.0625000000;2.5000000000;29.6875000000;5.8750000000;-13.6875000000;0.6068120000;0.3632810000;0.5690310000;-0.4195560000
33;-9.2600000000;-0.3900000000;1.0700000000;7.6250000000;0.8750000000;1.0625000000;29.2500000000;5.1875000000;-12.0625000000;0.6065670000;0.3643800000;0.5676270000;-0.4207760000
34;-9.4200000000;-0.2200000000;0.9500000000;5.1875000000;2.1875000000;3.0625000000;29.6875000000;5.1875000000;-12.5000000000;0.6056520000;0.3671880000;0.5664060000;-0.4213260000
35;-9.4000000000;-0.0700000000;0.8500000000;5.0000000000;-2.1875000000;4.3750000000;30.0625000000;4.7500000000;-13.0000000000;0.6056520000;0.3690190000;0.5650630000;-0.4215090000
36;-9.2600000000;-0.3200000000;0.6100000000;0.0000000000;-3.0625000000;5.3750000000;30.0625000000;4.7500000000;-13.0000000000;0.6068730000;0.3693240000;0.5638430000;-0.4211430000
37;-9.4400000000;-0.0900000000;0.7200000000;6.5625000000;6.5000000000;3.5000000000;29.2500000000;5.1875000000;-13.0000000000;0.6064450000;0.3717040000;0.5631710000;-0.4205930000
38;-9.5200000000;-0.2100000000;0.9400000000;3.1250000000;3.5000000000;2.0000000000;29.0000000000;4.3750000000;-12.8750000000;0.6050420000;0.3739010000;0.5633540000;-0.4203490000
39;-9.4400000000;-0.1600000000;0.7100000000;4.5000000000;3.8125000000;0.6875000000;29.2500000000;4.3750000000;-13.2500000000;0.6041870000;0.3751830000;0.5634160000;-0.4204100000
40;-9.2700000000;-0.1100000000;0.8200000000;1.6875000000;3.6250000000;-1.9375000000;29.6875000000;3.6875000000;-13.6875000000;0.6029050000;0.3764650000;0.5638430000;-0.4205320000
41;-9.5500000000;0.2500000000;0.9900000000;5.0000000000;4.8750000000;0.3125000000;29.6875000000;3.6875000000;-13.6875000000;0.6016240000;0.3776860000;0.5640870000;-0.4208980000
42;-9.1000000000;-0.2800000000;0.7500000000;-4.1250000000;-0.1250000000;-3.0000000000;29.0000000000;3.6875000000;-13.7500000000;0.6016240000;0.3773800000;0.5646970000;-0.4203490000
43;-9.3700000000;0.0000000000;0.7800000000;6.6250000000;7.0625000000;0.3125000000;29.6875000000;4.7500000000;-13.2500000000;0.5999760000;0.3787230000;0.5651860000;-0.4208370000
44;-9.5900000000;0.1200000000;0.9300000000;-2.3125000000;4.1250000000;-0.8125000000;29.2500000000;3.6875000000;-12.8750000000;0.5989990000;0.3802490000;0.5656740000;-0.4202880000
45;-9.3600000000;-0.3600000000;0.7200000000;-1.1250000000;0.3125000000;-1.4375000000;29.2500000000;4.0000000000;-12.5000000000;0.5991820000;0.3793330000;0.5664060000;-0.4198610000
46;-9.2400000000;0.0000000000;0.6000000000;2.7500000000;7.2500000000;3.0625000000;29.2500000000;4.0000000000;-12.5000000000;0.5983280000;0.3804930000;0.5666500000;-0.4196780000
47;-9.6500000000;-0.1400000000;0.8200000000;-0.8750000000;6.6875000000;1.3125000000;29.6875000000;4.0000000000;-13.2500000000;0.5970460000;0.3823240000;0.5681150000;-0.4179080000
48;-9.5900000000;-0.1700000000;0.7600000000;0.2500000000;-3.7500000000;-1.7500000000;29.6875000000;4.0000000000;-12.0625000000;0.5969240000;0.3819580000;0.5682980000;-0.4180910000
49;-9.1300000000;-0.3700000000;0.5400000000;0.3125000000;4.5625000000;1.5625000000;29.6875000000;4.3750000000;-12.1875000000;0.5969850000;0.3814700000;0.5687870000;-0.4178470000
50;-9.7000000000;0.0200000000;0.7100000000;4.5000000000;4.7500000000;0.9375000000;30.0625000000;4.0000000000;-12.0625000000;0.5958250000;0.3832400000;0.5689090000;-0.4176640000
51;-9.3600000000;-0.2200000000;0.5400000000;1.6875000000;-2.5625000000;-0.8750000000;30.0625000000;4.0000000000;-12.0625000000;0.5961300000;0.3829350000;0.5685420000;-0.4180300000
52;-9.4100000000;-0.0300000000;0.5600000000;12.2500000000;5.4375000000;3.1250000000;29.2500000000;4.7500000000;-11.6875000000;0.5945430000;0.3854370000;0.5675660000;-0.4192500000
53;-9.5600000000;0.0600000000;0.6600000000;4.1875000000;5.5000000000;0.0625000000;29.0000000000;4.0000000000;-12.5000000000;0.5927120000;0.3880000000;0.5676880000;-0.4193730000
54;-9.5400000000;-0.0800000000;0.3000000000;10.1875000000;4.7500000000;-2.2500000000;28.2500000000;3.6875000000;-12.5000000000;0.5903930000;0.3903810000;0.5673830000;-0.4208370000
55;-9.4200000000;0.5300000000;0.5400000000;25.2500000000;11.7500000000;2.5000000000;28.2500000000;3.6875000000;-12.5000000000;0.5855100000;0.3967900000;0.5659790000;-0.4235230000
56;-9.9700000000;0.5100000000;0.5900000000;20.4375000000;17.5625000000;2.5000000000;28.2500000000;3.6875000000;-13.2500000000;0.5799560000;0.4033200000;0.5660400000;-0.4249270000
57;-9.8700000000;0.3700000000;0.6800000000;22.5625000000;12.2500000000;5.6875000000;28.5625000000;4.0000000000;-10.8750000000;0.5754390000;0.4099730000;0.5647580000;-0.4263920000
58;-9.1800000000;0.0000000000;0.7100000000;23.3125000000;8.0000000000;2.6250000000;30.0625000000;3.2500000000;-12.0625000000;0.5712280000;0.4161380000;0.5626220000;-0.4290160000
59;-9.2100000000;0.3300000000;0.7000000000;13.0000000000;5.5625000000;1.1875000000;30.5000000000;2.1875000000;-11.6875000000;0.5678710000;0.4202270000;0.5617070000;-0.4306030000
60;-9.5000000000;-0.4400000000;0.4400000000;-0.3750000000;3.0625000000;3.7500000000;30.5000000000;2.1875000000;-11.6875000000;0.5675660000;0.4211430000;0.5619510000;-0.4298100000
61;-9.4400000000;-0.0300000000;0.6700000000;5.1875000000;-10.3125000000;3.4375000000;30.5000000000;2.5625000000;-10.8750000000;0.5683590000;0.4225460000;0.5592040000;-0.4309690000
62;-9.6000000000;0.1400000000;-0.3400000000;14.4375000000;2.6875000000;3.5625000000;30.5000000000;3.0000000000;-11.0000000000;0.5669560000;0.4256590000;0.5568850000;-0.4328000000
63;-9.6300000000;-0.2100000000;-0.2000000000;13.1875000000;3.1250000000;4.6250000000;31.5625000000;3.0000000000;-10.1875000000;0.5649410000;0.4296870000;0.5550540000;-0.4338380000
64;-9.8600000000;0.2900000000;-0.4900000000;25.7500000000;8.8750000000;2.9375000000;32.0000000000;2.5625000000;-12.1875000000;0.5615230000;0.4342650000;0.5535280000;-0.4355470000
65;-9.7800000000;0.5300000000;-0.4200000000;22.3125000000;12.7500000000;10.0000000000;32.0000000000;2.5625000000;-12.1875000000;0.5567020000;0.4418950000;0.5510250000;-0.4372560000
66;-9.9100000000;-0.2800000000;-0.0400000000;11.6875000000;15.8750000000;5.1250000000;31.5625000000;1.7500000000;-11.0000000000;0.5515140000;0.4494630000;0.5511470000;-0.4359130000
67;-9.6400000000;0.3300000000;0.0400000000;26.6875000000;13.4375000000;-1.7500000000;32.0000000000;1.0625000000;-10.1875000000;0.5452880000;0.4559330000;0.5499880000;-0.4385380000
68;-9.3000000000;0.6600000000;0.0600000000;21.6875000000;13.6250000000;1.7500000000;33.3750000000;1.0625000000;-10.8750000000;0.5394290000;0.4620360000;0.5491330000;-0.4404300000
69;-9.5000000000;0.1200000000;-0.2900000000;-1.7500000000;13.7500000000;2.3125000000;34.0625000000;1.1875000000;-10.5625000000;0.5372310000;0.4646610000;0.5504150000;-0.4387210000
70;-9.2200000000;-0.2800000000;-0.4200000000;13.6875000000;12.3750000000;1.6875000000;34.0625000000;1.1875000000;-10.5625000000;0.5348510000;0.4671630000;0.5517580000;-0.4372560000
71;-9.6200000000;0.3300000000;-0.2100000000;20.1250000000;11.4375000000;0.5000000000;34.0625000000;-0.2500000000;-10.5625000000;0.5280760000;0.4743650000;0.5504150000;-0.4394530000
72;-9.1800000000;-0.4300000000;-0.4300000000;-3.8125000000;3.6250000000;-1.1250000000;35.5625000000;0.3750000000;-9.8750000000;0.5272220000;0.4749760000;0.5511470000;-0.4389040000
73;-9.3500000000;-0.3500000000;-0.2600000000;14.0000000000;9.2500000000;-0.8125000000;35.5625000000;0.7500000000;-9.3750000000;0.5239260000;0.4780880000;0.5510250000;-0.4396970000
74;-9.5600000000;-0.0600000000;-0.5400000000;2.6875000000;4.3750000000;0.7500000000;36.0000000000;0.0625000000;-9.0625000000;0.5223390000;0.4801030000;0.5506590000;-0.4398800000
75;-9.5200000000;0.0400000000;-1.9500000000;-20.6250000000;1.8750000000;-1.0625000000;36.0000000000;0.0625000000;-9.0625000000;0.5236820000;0.4783940000;0.5526120000;-0.4376220000
76;-9.7300000000;0.2200000000;-2.3900000000;2.0000000000;13.3125000000;4.7500000000;36.0000000000;1.1875000000;-9.0000000000;0.5241700000;0.4781490000;0.5552980000;-0.4338380000
77;-9.9300000000;0.3100000000;-2.1800000000;2.7500000000;13.5625000000;2.6250000000;36.7500000000;0.7500000000;-9.0000000000;0.5207520000;0.4819950000;0.5568240000;-0.4318240000
78;-9.8600000000;-0.0200000000;-2.7700000000;-2.4375000000;24.6875000000;3.1875000000;36.3750000000;0.3750000000;-8.2500000000;0.5166020000;0.4863890000;0.5611570000;-0.4262700000
79;-10.2600000000;0.8200000000;-2.5800000000;16.6250000000;34.1875000000;7.6250000000;37.5000000000;0.0625000000;-7.0625000000;0.5093380000;0.4942630000;0.5641480000;-0.4219360000
80;-9.4600000000;0.8200000000;-2.0100000000;4.0625000000;34.3750000000;6.8125000000;37.5000000000;0.0625000000;-7.0625000000;0.5025630000;0.5015260000;0.5676270000;-0.4167480000
81;-9.7000000000;0.2200000000;-2.5600000000;14.0625000000;44.3750000000;8.7500000000;37.7500000000;-0.2500000000;-6.2500000000;0.4934690000;0.5107420000;0.5718990000;-0.4105830000
82;-9.6900000000;0.6200000000;-2.7900000000;14.7500000000;46.6250000000;3.8750000000;39.0000000000;-0.6875000000;-5.5625000000;0.4816890000;0.5228270000;0.5745850000;-0.4056400000
83;-9.4300000000;0.7900000000;-3.3200000000;15.3750000000;49.8750000000;8.3750000000;39.6875000000;-0.6875000000;-4.0000000000;0.4703370000;0.5332640000;0.5787960000;-0.3992310000
84;-9.8800000000;0.6600000000;-3.4100000000;22.1250000000;57.7500000000;11.1250000000;40.0625000000;-1.3750000000;-2.3750000000;0.4563600000;0.5471190000;0.5819090000;-0.3921510000
85;-9.4400000000;0.5200000000;-3.5100000000;13.0000000000;55.5000000000;10.6875000000;40.0625000000;-1.3750000000;-2.3750000000;0.4439700000;0.5589600000;0.5864260000;-0.3828130000
86;-9.3800000000;0.3400000000;-3.6900000000;17.0625000000;59.4375000000;9.5000000000;39.2500000000;-1.6875000000;-0.5000000000;0.4300540000;0.5711670000;0.5905150000;-0.3743290000
87;-9.2500000000;0.8000000000;-3.5500000000;10.1250000000;64.5625000000;12.0625000000;40.0625000000;-2.5000000000;2.1875000000;0.4161990000;0.5830080000;0.5959470000;-0.3629150000
88;-8.5000000000;0.0900000000;-3.7800000000;-3.7500000000;59.5625000000;-1.3125000000;39.3750000000;-2.8750000000;4.5625000000;0.4045410000;0.5910640000;0.6035770000;-0.3502200000
89;-8.4100000000;0.7900000000;-4.1400000000;12.5000000000;60.5625000000;7.3750000000;39.0625000000;-3.1875000000;5.7500000000;0.3899540000;0.6012570000;0.6087650000;-0.3403320000
90;-8.2900000000;0.6600000000;-4.3800000000;1.4375000000;58.5625000000;7.5000000000;39.0625000000;-3.1875000000;5.7500000000;0.3773800000;0.6103520000;0.6144410000;-0.3279420000
91;-8.2200000000;0.7300000000;-4.6300000000;-12.4375000000;49.9375000000;7.8125000000;38.6875000000;-2.8750000000;9.6875000000;0.3687130000;0.6177370000;0.6185910000;-0.3159180000
92;-7.6300000000;0.1800000000;-4.9100000000;2.0000000000;51.6250000000;7.5625000000;38.7500000000;-2.8750000000;9.2500000000;0.3602910000;0.6243290000;0.6234130000;-0.3029790000
93;-7.8500000000;1.2900000000;-5.0500000000;4.1875000000;46.0000000000;5.7500000000;37.6875000000;-2.8750000000;10.8750000000;0.3484500000;0.6323240000;0.6262210000;-0.2942500000
94;-7.1400000000;0.4500000000;-5.2600000000;-2.5625000000;43.3125000000;6.3750000000;37.0000000000;-3.1875000000;14.3750000000;0.3402100000;0.6374510000;0.6304930000;-0.2834470000
95;-7.4500000000;1.1300000000;-6.1600000000;-1.1250000000;43.9375000000;6.8125000000;37.0000000000;-3.1875000000;14.3750000000;0.3317870000;0.6430050000;0.6340940000;-0.2725830000
96;-7.2800000000;0.8600000000;-6.0700000000;8.8125000000;38.5000000000;6.1875000000;36.5625000000;-3.5625000000;14.8750000000;0.3220830000;0.6497190000;0.6356200000;-0.2646480000
97;-6.9400000000;1.2900000000;-6.5600000000;8.8750000000;41.5000000000;6.8125000000;35.0625000000;-3.5625000000;16.7500000000;0.3121950000;0.6559450000;0.6372680000;-0.2573240000
