time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
26;-10.8100000000;-0.3800000000;-4.6300000000;9.5000000000;98.5000000000;15.8750000000;47.7500000000;-10.6875000000;4.5000000000;0.5350340000;0.2796020000;-0.7832640000;0.1484370000
27;-10.6300000000;-1.4100000000;-5.8600000000;1.3750000000;107.0000000000;23.1250000000;46.0625000000;-11.7500000000;7.5000000000;0.5067750000;0.2778320000;-0.8036500000;0.1418460000
28;-10.0000000000;-1.7900000000;-4.5600000000;28.8125000000;111.3125000000;3.3750000000;46.0625000000;-13.2500000000;12.6875000000;0.4777220000;0.2730100000;-0.8254390000;0.1262210000
29;-10.0800000000;-0.9600000000;-4.7500000000;29.8750000000;93.0000000000;-11.1875000000;46.0625000000;-13.2500000000;12.6875000000;0.4520870000;0.2744140000;-0.8419800000;0.1064450000
30;-9.1800000000;-1.5100000000;-5.8400000000;31.5000000000;95.6250000000;-4.0625000000;45.0625000000;-12.5000000000;14.8750000000;0.4285890000;0.2748410000;-0.8560790000;0.0886840000
31;-9.2500000000;-0.7300000000;-6.1500000000;35.1875000000;99.1875000000;-13.3750000000;43.5000000000;-12.0625000000;18.5000000000;0.4030760000;0.2758180000;-0.8699950000;0.0677490000
32;-8.5600000000;-1.1900000000;-7.6500000000;19.4375000000;101.5625000000;-4.1250000000;41.8750000000;-10.5625000000;23.1875000000;0.3763430000;0.2770390000;-0.8826900000;0.0500490000
33;-8.3300000000;-2.1800000000;-7.4300000000;3.8750000000;105.1250000000;-8.2500000000;39.5625000000;-10.2500000000;26.7500000000;0.3454590000;0.2781370000;-0.8955080000;0.0363160000
34;-7.9100000000;-1.6800000000;-7.0200000000;28.5625000000;103.3750000000;-22.0000000000;39.5625000000;-10.2500000000;26.7500000000;0.3159790000;0.2826540000;-0.9054570000;0.0193480000
35;-6.7100000000;-1.0700000000;-7.0600000000;28.8125000000;98.9375000000;-25.1875000000;37.3750000000;-11.0000000000;30.1875000000;0.2872920000;0.2863770000;-0.9140620000;-0.0016480000
36;-5.8700000000;-0.4700000000;-7.0000000000;12.1875000000;94.1250000000;-17.7500000000;35.0625000000;-9.8750000000;33.0000000000;0.2602540000;0.2903440000;-0.9205930000;-0.0212400000
37;-5.1700000000;-1.7700000000;-6.5800000000;-17.6875000000;84.0000000000;-8.2500000000;32.5000000000;-6.8750000000;35.1875000000;0.2309570000;0.2948610000;-0.9268190000;-0.0258180000
38;-4.4900000000;-0.6500000000;-7.2000000000;25.6875000000;82.5625000000;-13.6250000000;29.0625000000;-8.7500000000;37.5625000000;0.2057500000;0.2963260000;-0.9318850000;-0.0385740000
39;-3.6600000000;-0.0400000000;-7.6800000000;-10.0625000000;86.9375000000;-5.1875000000;29.0625000000;-8.7500000000;37.5625000000;0.1804810000;0.2968750000;-0.9362790000;-0.0520020000
40;-3.1000000000;-2.3200000000;-7.6200000000;-33.0625000000;85.8125000000;-1.6250000000;25.6875000000;-7.6875000000;39.5625000000;0.1488650000;0.2966920000;-0.9420170000;-0.0495000000
41;-2.9000000000;0.0800000000;-8.5500000000;8.0000000000;53.6875000000;-22.5000000000;22.6875000000;-7.6875000000;40.6875000000;0.1257930000;0.2984620000;-0.9443360000;-0.0578000000
42;-2.0800000000;0.4300000000;-7.4700000000;-35.5625000000;74.4375000000;-1.7500000000;20.0000000000;-7.8750000000;42.3750000000;0.1032100000;0.3011470000;-0.9461670000;-0.0584720000
43;-1.3900000000;-0.5400000000;-7.5200000000;-26.1250000000;81.3750000000;12.3125000000;17.3750000000;-8.2500000000;42.7500000000;0.0737300000;0.2974850000;-0.9503780000;-0.0530400000
44;-0.7400000000;-1.0500000000;-9.0800000000;40.7500000000;82.3750000000;22.9375000000;17.3750000000;-8.2500000000;42.7500000000;0.0495610000;0.2888790000;-0.9537350000;-0.0670780000
45;-0.8100000000;-1.3100000000;-7.6600000000;37.1875000000;74.5000000000;20.1875000000;14.0000000000;-9.7500000000;44.5000000000;0.0286870000;0.2766110000;-0.9562990000;-0.0906980000
46;-0.3600000000;-1.8600000000;-8.4500000000;-34.3125000000;23.8750000000;12.0625000000;11.3750000000;-7.1875000000;44.0625000000;0.0146480000;0.2706300000;-0.9581910000;-0.0914920000
47;0.0000000000;-1.7000000000;-9.5700000000;-17.7500000000;28.1250000000;12.8750000000;9.0625000000;-6.7500000000;44.5000000000;0.0053710000;0.2665410000;-0.9602050000;-0.0836790000
48;-0.0800000000;-1.8800000000;-9.1000000000;9.1875000000;39.0625000000;13.0000000000;7.0625000000;-8.2500000000;45.0000000000;-0.0064090000;0.2605590000;-0.9614870000;-0.0869750000
49;-0.2300000000;-1.9200000000;-7.8600000000;52.1250000000;27.6875000000;6.8750000000;7.0625000000;-8.2500000000;45.0000000000;-0.0143430000;0.2565920000;-0.9610600000;-0.1016850000
50;0.7300000000;-1.6500000000;-9.6400000000;48.0625000000;11.5000000000;1.6875000000;5.5625000000;-8.0000000000;45.3750000000;-0.0139160000;0.2542110000;-0.9595340000;-0.1204830000
51;0.6400000000;-1.6100000000;-9.0200000000;42.0625000000;48.1875000000;4.3125000000;4.5000000000;-6.5000000000;45.0625000000;-0.0213010000;0.2526860000;-0.9578250000;-0.1351930000
52;0.3300000000;-3.5000000000;-7.2000000000;38.0625000000;51.1250000000;6.3125000000;3.2500000000;-4.2500000000;45.7500000000;-0.0341800000;0.2478030000;-0.9561160000;-0.1524050000
53;0.7300000000;-2.1700000000;-8.5100000000;23.6250000000;-10.7500000000;-5.5625000000;1.1875000000;-3.5625000000;45.0625000000;-0.0325930000;0.2476810000;-0.9548950000;-0.1605220000
54;1.1000000000;-2.9900000000;-9.0900000000;1.8125000000;-3.6250000000;13.7500000000;1.1875000000;-3.5625000000;45.0625000000;-0.0260620000;0.2454220000;-0.9559330000;-0.1588130000
55;1.2500000000;-3.4500000000;-7.4200000000;23.9375000000;5.8125000000;-6.8750000000;2.0625000000;-2.0625000000;45.8750000000;-0.0270390000;0.2442020000;-0.9552610000;-0.1646730000
56;1.5900000000;-1.8900000000;-9.0600000000;-18.9375000000;4.4375000000;-18.5000000000;1.0625000000;-2.3750000000;45.5625000000;-0.0282590000;0.2476810000;-0.9542850000;-0.1650390000
57;1.2200000000;-2.7300000000;-8.5200000000;-48.3750000000;14.5000000000;-5.0625000000;1.6875000000;-1.2500000000;46.3750000000;-0.0368650000;0.2488400000;-0.9557500000;-0.1525880000
58;1.2200000000;-2.6300000000;-7.4200000000;-16.1875000000;8.6250000000;-10.9375000000;1.6875000000;-1.2500000000;46.3750000000;-0.0427250000;0.2490840000;-0.9564210000;-0.1461790000
59;0.9400000000;-1.1000000000;-8.8200000000;-18.5625000000;-28.9375000000;-18.4375000000;0.6875000000;-3.0625000000;46.3750000000;-0.0371700000;0.2559810000;-0.9559940000;-0.1383670000
60;1.0700000000;-1.7000000000;-10.2600000000;-24.1250000000;-34.0000000000;-4.1875000000;1.3750000000;-3.8750000000;47.1875000000;-0.0284420000;0.2592770000;-0.9569700000;-0.1273800000
61;1.0700000000;-1.8400000000;-10.0400000000;-1.0000000000;-12.5000000000;-4.2500000000;2.5000000000;-4.5625000000;45.1875000000;-0.0239260000;0.2610470000;-0.9569700000;-0.1245120000
62;0.7800000000;-1.4100000000;-9.8700000000;-16.8125000000;-3.5000000000;-7.7500000000;3.5625000000;-5.0000000000;46.0000000000;-0.0241700000;0.2633060000;-0.9569090000;-0.1202390000
63;0.9600000000;-1.6200000000;-9.5500000000;-4.2500000000;1.3125000000;-2.3750000000;3.5625000000;-5.0000000000;46.0000000000;-0.0251460000;0.2640990000;-0.9569700000;-0.1175540000
64;0.7900000000;-1.3400000000;-8.7400000000;8.2500000000;3.8750000000;-0.6875000000;4.0000000000;-5.3750000000;46.3750000000;-0.0258180000;0.2642820000;-0.9565430000;-0.1204220000
65;1.0200000000;-1.6500000000;-9.0300000000;8.7500000000;-2.4375000000;4.4375000000;3.5625000000;-5.0000000000;45.8750000000;-0.0244140000;0.2633060000;-0.9565430000;-0.1229860000
66;0.6500000000;-1.4200000000;-9.0300000000;0.3125000000;-9.3125000000;3.6250000000;3.5625000000;-5.3750000000;45.5625000000;-0.0214840000;0.2623290000;-0.9569700000;-0.1220700000
67;0.5600000000;-2.2100000000;-9.2100000000;-4.9375000000;-19.3750000000;9.0625000000;4.3750000000;-5.0000000000;45.1875000000;-0.0174560000;0.2609860000;-0.9577640000;-0.1195680000
68;0.6200000000;-1.5400000000;-10.4300000000;4.4375000000;-20.3125000000;5.0000000000;4.3750000000;-5.0000000000;45.1875000000;-0.0101320000;0.2600710000;-0.9583130000;-0.1178590000
69;0.3000000000;-2.2300000000;-9.7800000000;-8.1250000000;-2.1250000000;7.1250000000;4.0000000000;-5.3750000000;45.8750000000;-0.0072020000;0.2572020000;-0.9592900000;-0.1162110000
70;0.3400000000;-1.9800000000;-9.5400000000;1.5625000000;1.7500000000;1.6875000000;5.7500000000;-4.1875000000;45.1875000000;-0.0077510000;0.2570800000;-0.9594120000;-0.1159060000
71;0.4100000000;-2.0400000000;-9.4100000000;9.2500000000;-0.6250000000;3.6250000000;4.6875000000;-5.3750000000;46.0000000000;-0.0068970000;0.2556150000;-0.9594120000;-0.1187740000
72;0.1900000000;-2.1900000000;-9.4400000000;-0.8750000000;1.6875000000;4.2500000000;5.7500000000;-5.3750000000;45.5625000000;-0.0059200000;0.2546390000;-0.9596560000;-0.1189580000
73;0.4200000000;-2.2500000000;-9.5100000000;0.3750000000;1.6875000000;3.3750000000;5.7500000000;-5.3750000000;45.5625000000;-0.0054320000;0.2531740000;-0.9601440000;-0.1181640000
74;0.2900000000;-2.2500000000;-9.3400000000;0.1250000000;-3.9375000000;2.6875000000;5.0625000000;-4.5625000000;46.3750000000;-0.0029910000;0.2521360000;-0.9603880000;-0.1184690000
75;0.3500000000;-2.1700000000;-9.5400000000;-0.8125000000;-7.0000000000;-1.4375000000;4.3750000000;-5.3750000000;45.8750000000;-0.0004880000;0.2511600000;-0.9607540000;-0.1175540000
76;0.2600000000;-1.9700000000;-9.7700000000;3.1875000000;-3.4375000000;0.6250000000;5.7500000000;-5.0000000000;45.8750000000;0.0008540000;0.2514040000;-0.9606930000;-0.1179810000
77;0.1800000000;-2.3100000000;-9.5600000000;-5.7500000000;-0.0625000000;0.6875000000;5.5000000000;-5.6875000000;45.5625000000;0.0006710000;0.2506100000;-0.9609990000;-0.1168210000
78;0.3800000000;-2.0400000000;-9.4000000000;4.3125000000;-0.1250000000;-1.8750000000;5.5000000000;-5.6875000000;45.5625000000;0.0009160000;0.2507320000;-0.9609990000;-0.1167600000
79;0.2800000000;-2.0500000000;-9.3100000000;5.7500000000;0.2500000000;-0.8750000000;5.7500000000;-5.6875000000;45.1875000000;0.0014040000;0.2511600000;-0.9605100000;-0.1195680000
80;0.3600000000;-2.3300000000;-9.6500000000;0.1250000000;0.5625000000;-0.9375000000;5.5000000000;-5.0000000000;45.1875000000;0.0012210000;0.2513430000;-0.9604490000;-0.1196900000
81;0.3200000000;-2.0700000000;-9.1600000000;3.5625000000;2.4375000000;-2.0000000000;5.7500000000;-4.5625000000;43.5625000000;0.0009770000;0.2517090000;-0.9602050000;-0.1209110000
82;0.3500000000;-2.0800000000;-9.4200000000;-1.8125000000;-1.3750000000;-0.5625000000;5.7500000000;-4.5625000000;45.0625000000;0.0008540000;0.2521360000;-0.9602050000;-0.1202390000
83;0.3200000000;-2.1600000000;-9.5400000000;0.6250000000;-2.2500000000;-2.0000000000;5.7500000000;-4.5625000000;45.0625000000;0.0017090000;0.2526250000;-0.9601440000;-0.1195680000
